,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,elf2,sin3a,1,1,0.237961922,0.141999587,1.131574852,0.199983709,6.039708575,5.288058611,0.812994282,0.196615185,0.083037986,5.337436199,26.44244698,2.986807184,1.487650159,1,0.058349027,0.107048656,1.711538597,0.369599265,1,0
2,elf2,taf1,1,1,0.151955979,0.002637899,0.668111528,0.006146236,6.500688067,6.517915586,0.5288108,0.123799005,0.001845731,9.729944468,1060.472713,3.266666667,3.008746356,1,0.05207733,0.183324644,2.419311919,3.178094237,-1,1
3,elf2,zbtb7a,1,1,0.497267923,2.197942426,0.774894088,677.9708388,5.825481209,395.039853,-1.612934231,0.30289379,2.190839849,7.51777733,0.582679712,3.029949465,1.50321305,1,-0.029879486,0.118322434,2.077754781,0.118335965,1,-1
4,smarcc1,wrnip1,1,1,1.952108063,0.001,3.14474683,0.001725031,20.4303289,2.914556347,0.197056421,1.204445834,0.000633032,6.49665299,1689.567167,0.389938272,2.691308864,1,0.011845197,0.220708192,0.465771771,2.137859451,-1,1
5,smc3,tbp,1,1,1.00E-04,0.0001,8.172136473,3.682404579,47.05553457,5.351461988,10.28926314,1.00E-04,1.00E-04,5.758045613,1.453252046,0.42269003,1.820180071,1,0.21854366,0.180508263,2.891343414,3.92560575,1,1
6,smc3,yy1,1,1,2.011358453,0.240078695,4.558713738,0.328224403,41.26458006,5.000674621,1.875893123,1.395602231,0.138657851,9.0518033,15.23553575,0.371994981,1.401487288,1,0.086800649,0.365859047,13.3628217,5.386008661,1,1
7,smc3,zbtb7a,1,1,1.306269138,6.758744941,186.9502311,254.1360301,55.45620292,117.0901132,36.48306376,1.297205232,6.583652768,0.296636183,0.460737949,0.426529354,1.361950059,1,0.14310649,0.177711499,4.722094538,2.658524047,1,1
8,sox2,taf1,1,1,1.605433039,0.013545374,3.720508105,0.031119579,31.54145605,6.58987691,4.719209775,1.121496928,0.009437519,8.477728084,211.7598326,0.424582016,3.233347751,1,0.302191564,0.292290457,8.906540017,7.501826847,1,1
9,mycn,patz1,1,1,0.226578545,0.859927461,0.71655234,5.031912867,17.98534805,10.9209007,1.270471273,0.172145128,0.734419097,25.09983854,2.170327863,1.818120228,1.484509001,1,0.036969526,0.264747844,3.746425217,1.603342224,1,1
10,mycn,smc3,1,1,0.214854163,1.601945986,0.988315323,7.287509019,20.32519242,47.81332801,6.467585058,0.176486907,1.313263391,20.56549357,6.560997439,1.803459938,0.417610119,1,0.203060765,0.386284146,17.72428638,14.12420186,1,1
