,0,1,2,3
0,1,15,1,2.183213647
1,1,20,1,2.301151506
2,1,49,1,3.479944888
3,1,87,1,5.194465039
4,1,98,1,4.939649974
5,1,102,1,5.527721561
6,1,109,1,19.4641917
7,1,123,1,3.30039427
8,1,143,1,6.022349326
9,1,148,1,2.13083699
10,1,149,1,3.996732686
11,1,158,1,6.634241986
12,1,170,1,3.137816326
13,1,183,1,1.950527615
14,2,57,1,2.300404798
15,2,163,1,9.100445689
16,3,4,1,1.696683552
17,3,5,1,0.791872076
18,3,8,1,1.335704315
19,3,9,1,0.410632471
20,3,13,1,2.001090907
21,3,15,-1,1.057582737
22,3,17,1,1.058845046
23,3,18,1,0.695064226
24,3,19,1,2.557205485
25,3,21,1,1.188893777
26,3,24,-1,0.427113667
27,3,25,1,2.424619188
28,3,27,1,0.291065746
29,3,28,1,0.657734102
30,3,31,1,0.699973995
31,3,32,1,0.406406027
32,3,34,1,6.322139011
33,3,38,1,0.886927345
34,3,41,1,1.264194979
35,3,46,1,1.171238834
36,3,51,1,0.612992894
37,3,52,1,2.417376506
38,3,53,-1,0.635458628
39,3,54,1,0.943813057
40,3,56,1,0.432923899
41,3,59,1,1.105834554
42,3,63,1,0.40993824
43,3,67,-1,0.390992329
44,3,69,1,1.704895918
45,3,71,1,5.946749835
46,3,73,1,3.16058284
47,3,75,1,1.091344215
48,3,76,1,2.233866122
49,3,77,1,1.254866053
50,3,78,1,1.528079786
51,3,84,1,1.209041073
52,3,91,1,2.411045624
53,3,92,1,0.183854133
54,3,99,1,0.774191031
55,3,102,1,1.382317347
56,3,103,1,1.162732996
57,3,107,1,1.53611388
58,3,108,1,0.589672059
59,3,113,1,0.267355375
60,3,115,1,0.663118008
61,3,117,1,0.68072831
62,3,119,1,0.285236154
63,3,120,1,0.370319502
64,3,126,1,0.168530161
65,3,130,1,3.014761224
66,3,131,1,3.493332533
67,3,132,1,0.209211302
68,3,134,1,0.885388636
69,3,137,1,0.520538978
70,3,139,1,1.071191671
71,3,140,1,0.714068721
72,3,145,1,0.847644414
73,3,146,1,1.408287157
74,3,150,1,0.888202228
75,3,152,1,0.359644189
76,3,155,1,1.006962279
77,3,157,1,0.454833296
78,3,158,1,2.069159648
79,3,162,1,0.807334101
80,3,164,1,4.247949049
81,3,165,1,3.689241722
82,3,169,1,0.283016503
83,3,171,1,6.284559674
84,3,172,1,1.04451598
85,3,176,1,0.502956776
86,3,177,1,0.576144461
87,3,179,1,0.903649323
88,3,182,1,1.398984211
89,3,183,1,0.991080566
90,4,3,1,4.121523032
91,4,25,1,25.97291841
92,4,26,1,8.390929465
93,4,54,1,15.03473532
94,4,55,1,8.788018428
95,4,68,1,15.78527567
96,4,69,1,14.67535672
97,4,73,1,23.67571659
98,4,75,1,18.68156459
99,4,76,1,21.24034786
100,4,77,1,18.7199878
101,4,83,1,7.103129059
102,4,90,1,8.008558035
103,4,95,1,14.958171
104,4,101,1,7.333708365
105,4,106,1,8.725457593
106,4,111,1,15.33259714
107,4,113,1,6.983707948
108,4,116,1,5.41339322
109,4,117,1,10.32686375
110,4,119,1,7.049789236
111,4,125,1,4.525164005
112,4,127,1,25.0689832
113,4,133,1,9.380815968
114,4,138,1,5.420552659
115,4,139,1,5.140767583
116,4,143,1,15.19934461
117,4,144,1,20.71078741
118,4,148,1,5.712489868
119,4,154,1,16.57783819
120,4,158,1,17.05719289
121,4,159,1,6.136902081
122,4,163,1,11.06649018
123,4,172,1,13.14857464
124,4,182,1,15.14030231
125,5,3,1,0.913054541
126,5,7,1,2.767183029
127,5,12,1,3.813916484
128,5,25,1,8.660112308
129,5,26,1,2.73839875
130,5,36,1,4.217325754
131,5,54,1,5.656682692
132,5,55,1,3.23152794
133,5,68,1,5.716239889
134,5,73,1,8.756387386
135,5,75,1,5.291081826
136,5,83,1,2.905103817
137,5,90,1,2.734585377
138,5,95,1,5.2537903
139,5,101,1,2.667839142
140,5,106,1,4.721225662
141,5,111,1,5.280596917
142,5,113,1,3.255757318
143,5,116,1,2.82734626
144,5,117,1,3.456112728
145,5,127,1,13.78438302
146,5,132,1,1.849571483
147,5,138,1,5.170274238
148,5,139,1,1.930635225
149,5,145,1,2.879062509
150,5,148,1,2.903129309
151,5,158,1,7.587756663
152,5,159,1,2.014995274
153,5,163,1,5.43578127
154,5,172,1,5.44478953
155,5,177,1,3.852805946
156,5,180,1,2.206756308
157,5,182,1,7.580716022
158,6,2,1,30.07225634
159,6,5,1,16.43932236
160,6,25,1,36.8167391
161,6,36,1,16.6148436
162,6,73,1,37.88210496
163,6,75,1,26.16789683
164,6,113,1,8.494011339
165,6,117,1,13.98541606
166,6,120,1,15.92341466
167,6,124,1,10.52528692
168,6,138,1,14.77365355
169,6,148,1,8.656733157
170,6,156,1,13.85810692
171,6,159,1,14.19884821
172,7,2,1,7.473257811
173,7,5,1,5.609960003
174,7,17,1,7.182871076
175,7,37,1,5.576741369
176,7,80,1,2.869268697
177,7,83,1,5.162802389
178,7,109,1,23.01777931
179,7,114,-1,1.865127879
180,7,129,1,5.922437727
181,7,138,1,5.620539319
182,7,156,1,2.098591874
183,7,160,1,5.581130645
184,7,164,1,12.76301407
185,7,175,1,3.864869413
186,7,177,1,8.199805459
187,8,4,1,4.746881986
188,8,12,1,0.839583594
189,8,36,1,2.291646815
190,8,44,1,1.501856095
191,8,68,1,3.926299456
192,8,69,1,3.527060806
193,8,83,1,2.732456171
194,8,111,1,2.343174389
195,8,120,1,1.027323583
196,8,139,1,0.967207565
197,8,158,1,4.516961623
198,8,163,1,3.131442232
199,8,174,1,1.509492786
200,9,150,1,0.521446791
201,10,2,1,2.680757714
202,10,6,1,6.41330521
203,10,16,1,1.774605925
204,10,17,1,2.70135628
205,10,18,1,1.773633866
206,10,19,1,5.711882932
207,10,26,1,1.301616849
208,10,32,1,1.486463579
209,10,33,1,2.774443857
210,10,36,1,1.494374012
211,10,40,1,0.587427351
212,10,46,1,3.483981527
213,10,49,1,1.610206857
214,10,57,1,1.059621752
215,10,58,1,2.461319861
216,10,67,1,1.13104956
217,10,78,1,5.823889155
218,10,87,1,3.436888318
219,10,88,-1,0.123919816
220,10,90,1,0.955912387
221,10,92,1,2.501286335
222,10,100,1,2.862825256
223,10,101,1,1.768067457
224,10,102,1,2.279633503
225,10,106,1,2.452266097
