,0,1,2,3
0,1,2,1,1.611620947
1,1,3,1,3.863294387
2,1,4,-1,4.175009276
3,1,5,1,6.089080327
4,1,6,-1,1.33e-15
5,1,7,1,6.92942618
6,1,8,-1,2.839606954
7,1,9,1,4.963237788
8,1,10,-1,1.555072335
9,1,11,1,3.344866607
10,1,12,1,5.763437689
11,1,13,1,2.432692392
12,1,16,-1,7.505223067
13,1,17,-1,3.647631646
14,1,18,-1,3.197126152
15,1,19,1,0.791914045
16,1,20,-1,0.98150896
17,1,21,1,2.006844078
18,1,23,-1,9.091096743
19,1,24,-1,0.555346508
20,1,25,-1,1.880376154
21,1,26,-1,4.354128822
22,1,27,1,6.14721904
23,1,28,-1,5.121572878
24,1,29,1,3.136572302
25,1,30,1,2.681074598
26,1,31,1,9.074548325
27,1,33,-1,2.113119519
28,1,34,1,4.371394403
29,1,35,-1,2.367764097
30,1,36,1,2.694591515
31,1,37,1,3.264938057
32,1,38,1,2.896906325
33,1,39,-1,1.113132893
34,1,40,1,3.411668627
35,1,42,-1,0.537036094
36,1,43,1,3.538854917
37,1,45,1,2.672072681
38,1,46,-1,2.467026521
39,1,47,1,3.65468654
40,1,48,-1,7.936655244
41,1,50,1,1.656470614
42,1,51,1,5.271626146
43,1,52,1,1.347905504
44,1,53,1,7.554739834
45,1,54,1,2.73671624
46,1,56,-1,3.731069039
47,1,57,1,6.404837076
48,1,58,-1,1.487136438
49,1,59,1,7.079663794
50,1,60,1,2.185943937
51,1,61,1,0.771557484
52,1,62,1,2.085649745
53,1,64,-1,5.567848539
54,1,65,1,2.835767292
55,1,67,1,2.940176184
56,1,68,1,4.720417875
57,1,69,1,0.323932857
58,1,70,1,3.661853776
59,1,71,1,5.071743143
60,1,72,-1,3.17418755
61,1,73,1,4.888037016
62,1,74,1,3.85701831
63,1,75,-1,3.772849712
64,1,76,-1,6.652621381
65,1,77,1,2.080094503
66,1,78,1,6.237073014
67,1,80,1,6.145224396
68,1,82,-1,0.220924006
69,1,83,1,3.021355796
70,1,84,1,6.004133659
71,1,85,1,9.116112353
72,1,86,1,7.171550461
73,1,87,1,5.669491063
74,1,89,1,1.861354336
75,1,90,1,3.201487735
76,1,91,-1,2.707279134
77,1,92,1,0.397199788
78,1,93,1,0.264924108
79,1,94,-1,2.414140468
80,1,95,-1,0.147162781
81,1,99,-1,2.180214557
82,1,100,1,1.629022047
83,1,102,1,3.545131918
84,1,103,-1,3.900345119
85,1,104,1,6.783985084
86,1,105,1,4.920526671
87,1,106,1,2.427184661
88,1,107,1,2.698027086
89,1,108,-1,7.816596531
90,1,109,1,3.461631966
91,1,111,1,4.204897078
92,1,112,-1,3.850022571
93,1,114,-1,1.325211382
94,2,1,1,6.080098795
95,2,3,1,3.785811941
96,2,6,1,1.600022994
97,2,8,1,3.575692629
98,2,9,1,1.350744807
