,0,1,2,3,4,5,6,7,8
0,ahctf1,0.837939069,1.348574963,0.553647645,120.6086165,3.125915167,0.766361528,0.508892158,176.0032916
1,arid5b,6.264963061,1.44037573,0.513738539,121.2970306,9.59107468,1.201883571,0.371066871,187.4485551
2,arnt,0.670223472,0.629666392,1.116215628,103.1805406,0.593261401,1.166624953,1.03058824,256.7417339
3,atf1,5.298072333,2.573449143,0.398466143,805.6188847,11.04651023,1.431200837,0.409985226,1248.648745
4,atf2,8.528440843,1.050813746,0.647684608,347.5066222,9.87981512,0.676820363,0.421391188,579.496614
5,atf4,3.365654775,7.957514182,0.755454069,468.4259675,4.764947502,6.098933777,0.326196837,512.0949813
6,atf5,20.20530549,0.61201455,1.341143146,21.57370139,26.13830445,0.764161048,1.247373107,52.08483054
7,atf6b,3.218315174,0.507592292,0.868732764,138.7996053,1.391426861,0.583388364,0.696485363,258.0272921
8,bcl3,3.145049593,1.576784602,1.504941743,213.4328339,2.931851471,0.865027875,0.994424542,373.1563003
9,bclaf1,0.746772522,2.902130093,0.337264482,413.1544094,9.623399089,1.338638944,0.290401425,612.6896253
10,bdp1,6.358022297,0.471636859,0.702237694,173.6758544,4.005966498,0.405825895,0.636976984,234.2590947
11,bptf,8.324100465,1.8856187,0.369343262,724.5496971,10.97278154,1.05855454,0.383562323,1194.342562
12,brca1,0.929726604,1.330271294,0.865035162,32.83478746,1.529652643,0.764223407,0.682340244,41.86965009
13,brf2,0.491767006,2.019563289,0.964665326,108.1352264,6.299923442,0.347804914,0.770215999,240.646379
14,cbfb,0.881044703,2.565278735,0.498031929,306.6763984,0.860326699,2.80272729,0.436144182,424.545476
15,cbx5,0.860456144,2.620418253,0.36487587,640.7731465,3.19486018,1.319500436,0.346490394,941.8074961
16,ccnt2,1.347349632,0.763209105,0.749092548,166.8742983,1.114715386,0.705276095,0.510973207,462.126987
17,cdc5l,2.681691412,4.430875972,0.316257251,389.2014695,8.466498451,2.326567809,0.25843785,703.7817578
18,cebpg,7.394570008,0.419332081,1.113711999,152.4395614,2.126805224,1.465212655,1.098852244,195.5565666
19,cebpz,0.616602507,1.484430547,0.491751356,224.9516845,2.391853006,0.949930126,0.365880095,429.2566452
20,chd2,0.660223634,1.026787696,0.85643728,61.98001967,1.791647026,0.73344611,0.652059605,269.6863116
21,creb3,0.435814628,1.956946668,1.100556889,39.61313664,0.880785514,1.722930351,1.07897605,48.64540467
22,ctcf,4.965348792,3.586972851,0.452149085,640.4912955,11.97558996,2.272345998,0.47896649,995.4561632
23,cux1,0.702450008,1.083762064,0.955929905,151.8028405,1.147310549,19.5267775,0.89305104,169.9768159
24,cxxc1,1.017990891,1.134973018,0.761906752,243.8026859,0.907357973,0.855867582,0.669819741,639.5748267
25,e2f1,1.618719273,4.133311217,0.670910313,647.675793,6.248538862,1.248466972,0.681210706,963.2264354
26,e2f4,5.382887669,5.790181248,0.676338536,304.6600652,10.79855894,4.277244804,0.264917734,371.2447705
27,e2f5,4.412031598,0.644968051,1.12869439,217.028862,0.863255686,1.194009942,0.768584889,390.814228
28,e2f6,0.399196134,2.600628166,0.981764809,231.9741137,0.744636245,0.782371252,1.268404952,255.3235034
29,elf2,0.597035951,1.280583085,0.728420955,80.04759856,0.732921676,0.813780019,0.826536919,108.2673463
30,elf3,19.98831467,1.926552288,1.086417778,270.2263081,3.581471236,1.514740688,0.698151151,422.579137
31,eno1,4.044058946,42.16160956,0.311376704,246.30845,6.304793834,28.77182566,0.276362777,361.0283648
32,ep300,1.278988482,17.24136467,0.805453542,141.017951,0.701223876,1.047198355,0.779490671,561.269445
33,erf,1.089400388,1.825636907,0.936544053,450.6048766,2.389658506,0.888565522,0.465812457,316.8655869
34,esrrb,0.706183929,3.060789485,1.154294127,78.4523982,2.549117795,0.262967779,0.744482902,307.1087819
35,etv4,2.578996837,2.829133952,0.988814777,300.0446539,7.018872989,1.313598907,1.325417844,539.4994605
36,etv5,1.580817747,1.530229469,0.600523035,287.9111391,3.731107453,0.576776963,0.393367113,676.1311286
37,ewsr1,0.948907622,7.736448904,0.287589983,477.216731,2.154612992,3.135965584,0.240257577,714.3021492
38,ezh2,1.007228372,15.42582707,0.394469503,821.3462506,3.987068336,3.838882421,0.326570719,1334.973665
39,foxj3,1.610263901,0.606800513,0.936586779,12.96286946,3.076611064,0.197519778,0.843794973,8.064237674
40,foxm1,0.940031623,1.095531933,1.225415046,184.9428074,1.120632275,0.45395864,0.967693857,288.2883454
41,foxn3,0.695945629,1.439506229,0.809053668,221.0759529,0.630781007,2.41537469,0.747700163,247.1653476
42,foxp4,1.116734911,1.03280835,0.913224396,297.3394691,1.278920724,1.243251041,0.594393253,593.3295867
43,fubp1,3.936805629,7.950241027,0.310723707,640.9035971,4.25303105,4.562516832,0.228900399,1071.688057
44,gabpa,1.485478762,3.063096972,0.64087516,124.1308053,2.257223145,0.586957188,0.554558128,301.9166476
45,gtf2i,0.970388971,1.086794543,0.640283601,245.2911854,0.929372953,1.033904242,0.558237315,301.0741372
46,gtf3c2,0.744150072,1.166163625,0.478882898,122.1656572,2.280058264,0.510705266,0.400723914,148.6947319
47,hbp1,0.544065002,1.673312769,0.85425346,195.439621,0.852658954,0.583500384,0.993037315,301.9998682
48,hdac2,2.086656378,5.006461546,0.397384985,543.1107206,6.334171504,2.036144466,0.227952942,782.1619944
49,herpud1,4.25401816,1.470705352,2.010866709,66.1074112,3.380017021,0.836881352,1.474883806,65.1143132
50,hes1,2.708113733,3.077932166,1.221961475,124.1204248,2.173268196,2.243220118,0.646831678,260.7269329
51,hic2,0.906553176,1.247806023,0.519196863,224.2044639,1.090375987,0.606179587,0.436727862,320.8003278
52,hif1a,1.657677869,1.138611687,0.530329528,230.579383,1.006657116,0.846970288,0.456700043,252.3683221
53,hltf,2.735484768,0.974401773,1.122947273,214.5806457,0.855052204,1.312133151,0.759621544,325.0144379
54,hmga1-rs1,3.365713003,1.47087992,0.631323938,296.2956548,4.706523011,1.046588707,0.620780571,433.3422863
55,hmga2,1.383558106,2.716923112,0.609848491,472.2092088,1.746495749,2.055526533,0.591692736,815.393065
56,hsf1,0.598660582,1.65877634,0.930305165,132.2385822,1.808192001,0.712036594,0.809721436,272.0227331
57,id3,2.52266909,5.372329927,1.097933164,234.5862696,5.429706714,3.157437811,0.834061654,496.3200481
58,irf3,5.691896976,0.280303512,1.158779703,50.50341403,1.041120173,1.495037739,0.910569814,167.0215662
59,junb,8.598566657,1.477491252,1.310631515,122.1168745,2.370915664,0.769905926,1.544189259,164.3805396
60,jund,23.42981826,8.158494603,0.695875864,734.5630481,27.12255513,3.270425865,0.84873523,905.0137634
61,klf10,0.714441557,0.929886456,0.744934163,283.5383547,0.787720439,1.341786869,0.752719271,264.3106057
62,klf13,4.164332617,1.565422654,0.733098797,338.454264,13.48612102,1.144658558,0.598131647,623.0117493
63,klf15,1.124839013,2.079221985,0.750248154,285.7470542,5.497181394,1.950423515,0.562204026,948.9987667
64,klf2,2.713788278,27.11844671,0.484319819,1494.196426,15.30029481,16.10892511,0.336426814,2978.099612
65,klf3,0.977082151,2.685498071,0.602174789,281.2454828,2.123956584,2.159908283,0.410997727,688.6782922
66,klf4,1.088056419,10.19683224,0.563890758,613.2944349,2.292865359,3.399505322,0.307524067,1445.592414
67,klf5,1.007596885,3.961347797,0.540547752,414.8120167,7.210841446,1.632837258,0.294564985,905.4111784
68,klf6,5.658465312,3.518513561,0.98936732,342.3163695,4.346993001,1.934431971,0.655478235,785.2048728
69,klf9,1.529489001,3.416666593,0.328269584,1103.42766,11.18986098,1.874955666,0.25778895,2106.85052
70,mafg,6.998746918,1.160610828,0.392137224,272.8279345,3.409878045,1.066385003,0.370343494,566.7117145
71,max,5.836282975,1.407649492,0.522426198,361.3035282,7.577115914,0.941044931,0.44164552,629.8144996
72,maz,4.49854825,1.649528517,0.407752885,790.7070452,9.572388855,1.358469516,0.354477161,1205.28827
73,mga,6.55075244,1.340079584,0.442097875,484.2935205,3.527491729,1.452743197,0.358431733,730.4069098
74,mitf,1.867860971,1.098211099,0.996990787,180.3250583,5.364293101,0.383937047,0.52524984,343.133317
75,mlx,2.52492165,0.594030408,0.65573402,90.56757603,8.250443766,0.421902021,0.553740475,170.5236748
76,mybl2,3.485182299,5.999908097,0.326226414,534.4327489,12.71002434,3.697942683,0.251967114,889.9946761
77,mycn,1.956479826,4.767333581,0.941422336,373.4329518,4.009395666,2.685955859,0.552447039,1030.133853
78,myef2,4.190029174,2.718672095,1.018139587,159.3358445,3.165086205,0.42827785,1.425492867,145.4685907
79,nanog,2.356365274,6.131611836,0.513471588,276.8219435,0.78006544,4.768787574,0.224508704,533.2433619
80,nfe2l1,0.533417848,0.965403212,0.915651288,108.1874663,1.642120729,7.271797236,0.82914296,199.5450557
81,nfe2l2,1.870848556,1.272003085,0.403101127,387.1598063,1.98563871,0.807222024,0.319496624,686.5156411
82,nfib,0.951416993,0.41361123,1.227616427,252.0850272,0.678001207,0.567265829,0.803593848,381.5288683
83,nfyb,1.623737847,2.873110976,0.453037324,494.3674184,4.063937709,1.109627793,0.397884118,882.5057202
84,nfyc,1.594817234,2.953465835,0.429900573,461.9835883,3.548835836,1.291948036,0.432898061,795.0617834
85,nkx6-2,0.705070429,13.53610317,0.919432164,214.0434959,12.57258249,5.095121469,0.502699166,720.3986586
86,nr0b1,3.870376878,6.480923536,2.065761312,95.66585029,3.758118355,3.279673697,0.643494844,182.5219662
87,nr1h2,1.360804875,2.462271885,0.500220823,283.7956836,8.338579089,0.883393982,0.454706122,488.8172193
88,nr2c2,0.287389839,32.17351487,0.97287068,136.1248151,3.648794791,0.173572294,0.937081495,340.3701763
89,nr2f6,5.048006111,0.992775175,1.065048382,205.0228518,4.069278694,0.432296118,1.002453224,387.086154
90,nr5a2,0.935281732,1.155210772,0.896524877,211.2031054,1.141531381,0.560105636,0.520998894,438.8730582
91,nrf1,1.228909976,1.944141251,0.537812989,600.7658424,6.76535667,0.891154653,0.496267651,1021.776771
92,patz1,2.082035262,0.795474771,0.57613041,351.0564693,6.520065793,0.462213366,0.435831862,619.8704663
93,pknox1,0.944714591,1.438131588,1.067976167,139.3665995,0.465244477,23.6149742,0.978122669,219.8735787
94,plagl1,1.080252247,1.083551999,1.492207838,94.59576926,7.408209926,0.387393467,1.01069252,274.3330457
95,polr2a,0.770463978,0.742958021,0.7112009,190.7526013,3.919379973,0.253196038,0.778526025,349.0360999
96,polr3g,9.218089658,0.933949657,0.919205375,394.3266739,2.727231784,0.869686615,0.649280539,723.8594074
97,pou2f1,0.575339543,17.21844432,1.073021586,202.584579,1.137703962,0.638902968,0.838372829,400.1000216
98,pou5f1,7.925060017,23.59528594,0.294053656,1450.995832,10.07002492,20.11968029,0.267956047,2065.922926
99,pten,5.078373682,0.958081348,0.767760972,268.182712,3.506389253,0.617933974,0.636771311,545.0653781
100,pura,6.384965834,0.593956241,0.659576177,316.1168354,9.649088396,0.663478862,0.667945737,883.7800793
101,rad21,0.750601418,2.589989654,0.426451094,300.5588871,1.303220558,1.398543145,0.379121635,505.8542962
102,rarg,1.021410188,0.853818769,0.869521087,181.5488126,0.788196531,2.403995896,0.803933786,348.2425415
103,rbpj,3.613439999,0.79509377,0.701172324,496.9956655,6.772966536,0.337126096,0.569043597,743.6490526
104,relb,13.62492543,0.679532505,0.86672247,251.8362553,3.449472887,0.486124139,0.631802128,500.1541901
105,rest,3.736928741,4.260862002,0.325120505,445.1790574,7.7838006,2.966860217,0.29015966,1012.756698
106,rfx7,1.129130661,0.677310016,0.794078318,211.7052059,1.312681099,6.368685439,0.870944923,374.32623
107,rxrb,1.282276323,0.816612012,1.348921235,313.6650222,2.494931804,0.320208111,1.139466533,580.3506596
108,sall4,7.741806417,2.737637997,0.585058432,190.2930232,11.93576192,0.841106126,0.530031743,184.7983832
109,setdb1,1.293197199,2.865492226,0.52963043,274.5151867,3.742117917,0.767978678,0.44889351,544.9870654
110,sin3a,1.18157569,1.704496335,1.980287342,344.6980476,9.319509663,0.278793563,0.614133789,266.5056762
111,smad1,0.960465647,0.962312953,1.186832493,109.1233043,0.983112173,0.692905908,0.95763018,110.6753872
112,smad2,0.49941771,1.131985792,0.898362036,232.7544719,1.159174491,17.15510282,0.747901373,315.2282821
113,smad4,1.728203717,0.532629054,1.133194146,128.3080808,8.290486546,0.202575935,0.971000832,254.8958162
114,smarca5,2.412699475,11.66545859,0.188954976,1042.613187,9.773984369,3.665452698,0.17090237,1595.363585
115,smarcb1,1.062461241,4.754493759,0.416859008,310.8673658,4.912051572,2.640591551,0.302166381,650.7410046
116,smarcc1,0.787826593,4.332091213,0.255748618,449.4758337,4.025760058,1.986966357,0.220160495,717.4104738
117,smc3,4.832370597,5.723495179,0.33072606,878.5449565,7.563295104,2.97859382,0.246914448,1260.425384
118,sox2,3.084584433,5.785928114,0.581083621,886.892856,12.07251235,3.903885511,0.367908738,1897.21813
119,sp1,0.637019659,1.309019572,0.855995029,116.5043215,2.757762034,0.259640637,0.95988807,219.5896522
120,sp2,1.264206095,0.80390699,0.773745042,208.631261,2.588917808,0.555771122,0.584675564,346.1574723
121,sp3,1.489090244,7.784811002,0.604002397,262.7717572,5.135457458,0.294487865,0.558169834,487.6839883
122,sp5,4.273528183,14.74616448,1.239670951,231.6153453,8.240064077,5.627868,0.90850453,652.2695846
123,srebf1,1.124216452,0.819699719,0.767231929,492.2184911,0.866175303,1.957070314,0.524879409,796.5882115
124,srebf2,0.606134432,3.678697309,1.715819247,385.8489219,0.91679484,0.980795449,0.664469097,568.6566889
125,stat3,1.557473877,0.602032412,0.813130725,240.6305815,2.927263331,0.367586074,0.495937349,343.4781325
126,stat6,0.942394193,0.558859817,1.342361526,128.6558696,1.165616384,0.422803078,1.0092401,182.3764666
127,taf1,0.577864476,2.329413725,0.528139491,417.514027,3.920706391,0.83841686,0.477462928,632.2789896
128,tbx3,1.209639892,2.030003919,0.650081354,369.5877246,2.552553904,0.989453876,0.34309509,734.4200722
129,tcf3,5.21352905,2.031768985,0.451118421,384.5006836,2.792965921,1.801048605,0.406267195,588.8571494
130,tcf4,2.487670901,1.783666401,0.832742589,471.8996167,4.336645286,0.777441167,0.538499006,868.614156
131,tcf7,1.949070891,1.034598315,0.659287975,286.4856675,5.945198522,0.462009911,0.600934105,403.0269639
132,tcf7l1,4.492568463,0.75039764,0.987435035,220.5921354,1.139027997,0.743333612,1.013799464,305.5805846
133,tead1,1.671495708,0.432769312,0.913419559,135.8998108,0.719825765,0.460349266,1.020668893,222.1998766
134,tead2,1.209311661,1.888442727,0.661666059,435.7220237,8.080183729,0.762299227,0.532044325,833.0211696
135,tead4,0.971832167,0.702692709,0.938438109,210.0347812,0.719865753,0.983232814,0.709043175,416.1078932
136,tfap2c,1.024006835,1.898065079,1.016738548,479.4224859,2.897077885,0.877757284,1.052683871,530.0125215
137,tfap4,0.707494379,1.130306911,0.927747309,158.3718584,0.629223378,1.757449042,0.610029077,419.8719854
138,tfcp2l1,1.8234375,1.745750288,0.530928265,308.4920581,4.264048719,0.9477104,0.287388302,641.0050469
139,tfdp2,6.746257786,0.8408429,0.746137949,582.7749825,3.143103548,0.757928509,0.625656669,979.1805638
140,tfe3,3.873032269,0.65755488,1.056624538,180.5354745,5.848528278,0.254877719,0.898585652,468.8577256
141,tfeb,3.721158834,1.288050789,1.553175269,514.8378772,5.311876067,0.861842729,0.681112171,420.8250228
142,tgif1,3.242390372,2.273248275,0.533455976,611.2303382,9.229258102,1.644695433,0.326435639,1242.413574
143,tgif2,0.996608069,0.602925752,0.744804345,277.0073417,0.665800543,1.493217621,0.703236416,385.3570933
144,thap11,7.949136108,1.089582326,0.544550014,347.0450138,8.036757435,0.818492999,0.485915995,579.1021036
145,topors,0.836763091,2.906731276,0.382540481,270.971944,6.164408542,0.875890893,0.287361553,538.6968783
146,trim28,3.68174755,10.22442911,0.284994083,1577.504921,5.927963715,6.135532168,0.234728611,2367.461614
147,trp53,5.869079274,6.463520402,0.302092169,400.0454713,8.041931537,6.390820571,0.27565124,636.9395697
148,ubp1,3.732564056,0.614046106,0.853352334,116.3615667,0.871926784,0.733175923,0.612317278,279.5437232
149,usf1,0.970709294,1.201877106,0.520427627,510.274256,1.828226692,1.273046117,0.433336171,700.4086663
150,usf2,0.706112504,0.856928459,1.077305914,227.3916437,8.525021473,0.395809518,0.680344993,696.2803218
151,xbp1,1.013473562,1.268970725,0.787042239,196.0508476,8.035560703,0.471928904,0.696925547,370.1262029
152,ybx1,5.014262201,44.54703678,0.263319137,1973.632529,11.06760119,34.90852987,0.275015353,2795.251172
153,yy1,8.143487334,1.416381967,0.47098863,609.5251491,9.9019826,1.133002638,0.468331929,940.8107575
154,zbtb7a,0.680669311,1.240150331,0.668758978,157.0643842,0.506159403,1.681942322,0.73537035,341.3405686
155,zfhx3,2.377173742,0.441664808,1.101130795,87.60619483,0.649404787,0.535912268,1.147449732,118.0626767
156,zfp110,0.574656643,1.200316984,0.857929606,108.1083619,2.929481195,3.939300625,0.658517828,109.7809034
157,zfp148,3.790380434,0.391103956,0.879894272,135.470676,0.995377572,0.737523167,0.819221685,268.1453854
158,zfp219,1.003486318,1.547534918,0.522506086,631.7424138,4.805337478,0.485785218,0.537451496,888.9959224
159,zfp263,0.497135488,21.11181314,0.817767095,174.0748202,1.655865505,2.753114898,0.808562799,175.1141807
160,zfp281,4.490742052,0.766918357,0.732956315,197.8844865,0.634790925,1.5790799,0.553335527,290.544663
161,zfp410,0.834978076,34.64443394,0.980059556,71.78128786,1.135740289,11.74034727,0.841057034,96.98190906
162,zfp42,4.032788055,13.38882326,0.358430584,954.2256262,14.16164517,8.348017754,0.249610221,1853.124419
163,zfp57,6.392236703,2.229696914,0.589511686,541.9671619,1.913479488,2.12178166,0.326171756,967.4061421
164,zfx,0.496120014,1.125242135,0.84998859,203.0896315,0.675656711,1.289725575,0.78138942,344.6061002
