,0,1,2,3
0,elf2,sin3a,1.0,1.0
1,elf2,taf1,1.0,1.0
2,elf2,zbtb7a,1.0,1.0
3,smarcc1,wrnip1,1.0,1.0
4,smc3,tbp,1.0,1.0
5,smc3,yy1,1.0,1.0
6,smc3,zbtb7a,1.0,1.0
7,sox2,taf1,1.0,1.0
8,mycn,patz1,1.0,1.0
9,mycn,smc3,1.0,1.0
10,mycn,sp1,1.0,1.0
11,mycn,stat3,1.0,1.0
12,mycn,tfdp1,1.0,1.0
13,mycn,tfdp2,1.0,1.0
14,sp1,sp2,1.0,1.0
15,mycn,yy1,1.0,1.0
16,sp1,srebf2,1.0,1.0
17,mycn,zfp281,1.0,1.0
18,sp1,taf1,1.0,1.0
19,sp1,tbp,1.0,1.0
20,klf10,klf4,1.0,1.0
21,klf10,patz1,1.0,1.0
22,sp1,tfdp1,1.0,1.0
23,myef2,smc3,1.0,1.0
24,klf10,rest,1.0,1.0
25,myef2,tbp,1.0,1.0
26,klf10,sin3a,1.0,1.0
27,klf10,stat3,1.0,1.0
28,klf10,tcf3,1.0,1.0
29,klf10,tcf4,1.0,1.0
30,sp1,yy1,1.0,1.0
31,sp1,zbtb7a,1.0,1.0
32,klf10,yy1,1.0,1.0
33,klf10,zbtb7a,1.0,1.0
34,sp1,zfp281,1.0,1.0
35,sp1,zfp740,1.0,1.0
36,sp2,stat3,1.0,1.0
37,sp2,taf1,1.0,1.0
38,sp2,tbp,1.0,1.0
39,sp2,tfdp1,1.0,1.0
40,sp2,xbp1,1.0,1.0
41,sp2,yy1,1.0,1.0
42,foxo1,foxp4,1.0,1.0
43,sp2,zbtb7a,1.0,1.0
44,foxo1,klf5,1.0,1.0
45,foxo1,patz1,1.0,1.0
46,arhgef12,sp2,1.0,1.0
47,ep300,ezh2,1.0,1.0
48,arid2,irf1,1.0,1.0
49,arid2,taf1,1.0,1.0
50,ep300,gabpa,1.0,1.0
51,arid2,zbtb7a,1.0,1.0
52,ep300,gtf3c2,1.0,1.0
53,ep300,hdac2,1.0,1.0
54,ep300,irf1,1.0,1.0
55,ep300,klf10,1.0,1.0
56,ep300,klf16,1.0,1.0
57,ep300,klf3,1.0,1.0
58,ep300,klf4,1.0,1.0
59,ep300,klf5,1.0,1.0
60,ep300,klf9,1.0,1.0
61,ep300,max,1.0,1.0
62,arid5b,nr3c1,1.0,1.0
63,ep300,nr2c2,1.0,1.0
64,ep300,nrf1,1.0,1.0
65,ep300,patz1,1.0,1.0
66,foxp4,gtf2i,1.0,1.0
67,ep300,polr3g,1.0,1.0
68,foxp4,id1,1.0,1.0
69,ep300,pura,1.0,1.0
70,ctcf,e2f1,1.0,1.0
71,ep300,rad21,1.0,1.0
72,ep300,rest,1.0,1.0
73,ep300,rreb1,1.0,1.0
74,foxp4,mycn,1.0,1.0
75,foxp4,nr3c1,1.0,1.0
76,foxp4,nrf1,1.0,1.0
77,ep300,sall4,1.0,1.0
78,ep300,sin3a,1.0,1.0
79,foxp4,setdb1,1.0,1.0
80,ctcf,ep300,1.0,1.0
81,ep300,smc3,1.0,1.0
82,ep300,sp1,1.0,1.0
83,ep300,sp2,1.0,1.0
84,ctcf,hdac2,1.0,1.0
85,foxp4,taf1,1.0,1.0
86,ctcf,irf1,1.0,1.0
87,ep300,stat3,1.0,1.0
88,ep300,taf1,1.0,1.0
89,ep300,tbp,1.0,1.0
90,foxp4,zfp57,1.0,1.0
91,ctcf,klf3,1.0,1.0
92,ctcf,klf4,1.0,1.0
93,ep300,tfdp1,1.0,1.0
94,ctcf,max,1.0,1.0
95,ep300,wrnip1,1.0,1.0
96,ep300,yy1,1.0,1.0
97,ctcf,mlx,1.0,1.0
98,ctcf,mycn,1.0,1.0
99,ep300,zbtb7a,1.0,1.0
100,ctcf,nr2c2,1.0,1.0
101,ctcf,nrf1,1.0,1.0
102,ep300,zfp263,1.0,1.0
103,ctcf,patz1,1.0,1.0
104,ep300,zfp281,1.0,1.0
105,ep300,zfp57,1.0,1.0
106,ep300,zfp740,1.0,1.0
107,ctcf,setdb1,1.0,1.0
108,ctcf,sin3a,1.0,1.0
109,ctcf,sp1,1.0,1.0
110,ctcf,sp2,1.0,1.0
111,epas1,max,1.0,1.0
112,ctcf,stat3,1.0,1.0
113,ctcf,yy1,1.0,1.0
114,ctcf,zbtb7a,1.0,1.0
115,ctcf,zfp263,1.0,1.0
