0,gene1,gene2,feedback1,feedback2,kon1,kon2,koff1,koff2,ksyn1,ksyn2,w,bs1,bs2,bf1,bf2,cv1,cv2,convergence,corr,NMI,cmi_given_x1,cmi_given_x2,sign_givenx1,sign_givenx2
1,junb,klf6,1,1,7.156596442,731.335442,894.0588169,174.5620789,212.7599582,504.9651472,0.504614747,7.099765553,140.924809,0.237970874,2.892753973,1.33668516,1.013817799,1,0.084217219,0.058724973,6.566416632,4.543537692,1,1
2,junb,sp2,1,1,18.99700163,8.67886792,306.4312016,341.7758064,364.1134002,13.25784916,17.45623628,17.88804405,8.463939275,1.188238659,0.03879107,1.391616667,0.80213512,1,0.118472256,0.035769017,7.555011149,0.925486981,1,-1
3,junb,stat3,1,1,14.43409672,2.588929444,195.6905663,141.9181947,235.0553479,10.02714973,14.74250598,13.44257509,2.542547263,1.2011583,0.070654434,1.350197051,0.826646091,1,0.07684797,0.033639635,6.434476522,0.715096425,1,1
4,junb,tcf12,1,1,2.781340624,0.0001,169.1760108,84.34210912,209.7762874,2.69393471,61.67847816,2.736353564,1.00E-04,1.239988379,0.031940566,1.360998028,1.357272747,1,0.100126798,0.027674906,3.021693156,0.582194288,1,1
5,junb,yy1,1,1,145.6863752,3.409126442,225.2314334,377.4582997,263.1056071,140.9055318,2.536924039,88.46474975,3.378611512,1.168156696,0.373300923,1.356109572,0.483377712,1,0.153215527,0.049785865,6.032707807,1.936399461,1,1
6,jund,klf4,1,1,3.878847741,0.0001,528.7006312,198.039285,3326.5096,45.25927995,137.1900213,3.850597573,1.00E-04,6.291858576,0.228536878,0.648149961,0.5657317,1,0.143889085,0.220838703,48.659429,28.5691983,1,1
7,jund,klf5,1,1,3.960462496,0.0001,273.9208344,130.3240726,1692.429923,22.05411435,69.68867261,3.904016584,1.00E-04,6.178536682,0.169225178,0.688406931,0.554650694,1,0.168383742,0.167913252,39.39348799,17.0002417,1,1
8,jund,klf6,1,1,503.9492176,5.309979352,234.5296201,906.6264523,1566.395986,441.520419,0.599741831,160.0465883,5.279060661,6.678883399,0.486992651,0.774798198,1.014408392,1,0.170555743,0.159147469,47.1776844,19.12708597,1,1
9,jund,klf9,1,1,7.441455098,0.177998029,217.6519033,138.6946459,1420.54596,30.95080167,29.9865083,7.195444934,0.177769882,6.526687514,0.223157869,0.740707926,0.333048143,1,0.231299671,0.186299131,63.76917491,22.15071593,1,1
10,jund,mycn,1,1,2.929448596,1.00E-04,261.5423631,47.30554781,1555.531292,21.09435609,51.48301513,2.897000264,1.00E-04,5.947530922,0.445917172,0.65850727,0.94404634,1,0.054134233,0.143683513,22.35705743,12.18608176,-1,1
