,0,1,2,3
0,myc,smc3,1.0,1.0
1,myc,sp1,1.0,1.0
2,myc,tcf12,1.0,1.0
3,myc,tcf3,1.0,1.0
4,myc,tfdp1,1.0,1.0
5,myc,twist2,1.0,1.0
6,myc,yy1,1.0,1.0
7,myc,zbtb7a,1.0,1.0
8,myc,zbtb7b,1.0,1.0
9,smad2,zeb1,1.0,1.0
10,jun,klf6,1.0,1.0
11,jun,klf7,1.0,1.0
12,myc,zfp148,1.0,1.0
13,myc,zfp281,1.0,1.0
14,smad3,sox9,1.0,1.0
15,jun,rela,1.0,1.0
16,smad4,tcf12,1.0,1.0
17,smad4,tfdp1,1.0,1.0
18,jun,stat3,1.0,1.0
19,smad4,vezf1,1.0,1.0
20,smad4,yy1,1.0,1.0
21,smad4,zbtb7b,1.0,1.0
22,jun,yy1,1.0,1.0
23,smad4,zeb1,1.0,1.0
24,smad4,zfp148,1.0,1.0
25,smarcc2,zbtb7b,1.0,1.0
26,smc3,srebf1,1.0,1.0
27,smc3,tcf7l2,1.0,1.0
28,creb3,cux1,1.0,1.0
29,creb3,hoxb9,1.0,1.0
30,creb3,id3,1.0,1.0
31,smc3,yy1,1.0,1.0
32,smc3,zbtb7a,1.0,1.0
33,creb3,zfp281,1.0,1.0
34,creb3l1,e2f1,1.0,1.0
35,ahctf1,nfix,1.0,1.0
36,creb3l1,hdac2,1.0,1.0
37,snai2,tcf12,1.0,1.0
38,creb3l1,klf10,1.0,1.0
39,creb3l1,klf6,1.0,1.0
40,creb3l1,max,1.0,1.0
41,creb3l1,mbd2,1.0,1.0
42,creb3l1,pura,1.0,1.0
43,creb3l1,smc3,1.0,1.0
44,creb3l1,tfdp1,1.0,1.0
45,creb3l1,yy1,1.0,1.0
46,creb3l1,zbtb7b,1.0,1.0
47,creb3l1,zeb1,1.0,1.0
48,creb3l1,zfp281,1.0,1.0
49,elk3,gabpa,1.0,1.0
50,sox4,tgif1,1.0,1.0
51,elk3,hdac2,1.0,1.0
52,elk3,srf,1.0,1.0
53,sp1,srebf1,1.0,1.0
54,sp1,srf,1.0,1.0
55,sp1,tcf12,1.0,1.0
56,klf10,klf4,1.0,1.0
57,klf10,klf7,1.0,1.0
58,klf10,mafk,1.0,1.0
59,klf10,mbd2,1.0,1.0
60,sp1,tcf7l2,1.0,1.0
61,klf10,nfkb2,1.0,1.0
62,sp1,tfdp1,1.0,1.0
63,klf10,rest,1.0,1.0
64,klf10,stat3,1.0,1.0
65,klf10,tcf3,1.0,1.0
66,klf10,tcf4,1.0,1.0
67,klf10,tcf7l2,1.0,1.0
68,sp1,yy1,1.0,1.0
69,sp1,zbtb7a,1.0,1.0
70,klf10,yy1,1.0,1.0
71,sp1,zbtb7b,1.0,1.0
72,klf10,zbtb7a,1.0,1.0
73,sp1,zfp148,1.0,1.0
74,sp1,zfp281,1.0,1.0
75,eno1,smad3,1.0,1.0
76,foxp1,maff,1.0,1.0
77,foxp1,mafk,1.0,1.0
78,foxp1,smad4,1.0,1.0
79,foxp1,zeb1,1.0,1.0
80,arid5b,nr3c1,1.0,1.0
81,nfat5,zbtb7a,1.0,1.0
82,foxs1,maff,1.0,1.0
83,foxs1,rad21,1.0,1.0
84,foxs1,rest,1.0,1.0
85,foxs1,smad3,1.0,1.0
86,foxs1,smad4,1.0,1.0
87,foxs1,sp1,1.0,1.0
88,foxs1,tcf12,1.0,1.0
89,foxs1,tcf7l2,1.0,1.0
90,foxs1,zeb1,1.0,1.0
91,fubp1,gtf2i,1.0,1.0
92,nfe2l2,srf,1.0,1.0
93,nfe2l2,vezf1,1.0,1.0
94,gabpa,klf3,1.0,1.0
95,gabpa,klf6,1.0,1.0
96,gabpa,klf7,1.0,1.0
97,gabpa,maff,1.0,1.0
98,gabpa,mafk,1.0,1.0
99,gabpa,myc,1.0,1.0
100,gabpa,nr3c1,1.0,1.0
101,nfic,rela,1.0,1.0
102,nfic,zbtb7b,1.0,1.0
103,cux1,tcf12,1.0,1.0
104,gabpa,smarcc1,1.0,1.0
105,cux1,zeb1,1.0,1.0
106,cux1,zfp281,1.0,1.0
107,nfix,nfkb2,1.0,1.0
108,gabpa,smarcc2,1.0,1.0
109,nfix,rela,1.0,1.0
110,nfix,zbtb7b,1.0,1.0
111,gabpa,sp1,1.0,1.0
112,gabpa,srf,1.0,1.0
113,srebf1,srf,1.0,1.0
114,srebf1,stat3,1.0,1.0
